idusuario,deslogin,dessenha,dtcadastro
8,Arou,ggwp,2018-06-11 21:44:45
9,Arou,ggwp,2018-06-11 21:44:45
10,Arou,ggwp,2018-06-11 21:44:45
11,Arou,ggwp,2018-06-11 21:44:45
12,Arou,ggwp,2018-06-11 21:44:46
13,Arou,ggwp,2018-06-11 21:44:46
14,Arou,ggwp,2018-06-11 21:44:46
16,Arou,ggwp,2018-06-11 21:44:46
17,Arou,ggwp,2018-06-11 21:44:46
18,Arou,ggwp,2018-06-11 21:44:47
19,Arou,ggwp,2018-06-11 21:44:47
20,Arou,ggwp,2018-06-11 21:44:47
15,Dino,asdasda,2018-06-11 21:44:46
2,Joseph,qwerty,2018-06-11 09:59:24
6,Joseph,123456768,2018-06-11 16:32:47
5,root,12312,2018-06-11 09:59:29
1,user,12345,2018-06-11 09:56:27
